name,city,rating,review_count,address,phone,url,description
El Patron,Dublin,4.1,9,4 King Street N Dublin 1 Republic of Ireland,35318747219.0,https://www.yelp.com/biz/el-patron-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,El Patron located in Dublin at 4 King Street N Dublin 1 Republic of Ireland
Cafe Azteca,Dublin,4.3,150,Dublin Republic of Ireland,,https://www.yelp.com/biz/cafe-azteca-dublin-3?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Cafe Azteca located in Dublin at Dublin Republic of Ireland
The Boxty House,Dublin,4.3,1210,20-21 Temple Bar Dublin 2 Republic of Ireland,35316772762.0,https://www.yelp.com/biz/the-boxty-house-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,The Boxty House located in Dublin at 20-21 Temple Bar Dublin 2 Republic of Ireland
Boojum,Dublin,3.7,12,3 Abbey Street Lower Dublin Republic of Ireland,35318747237.0,https://www.yelp.com/biz/boojum-dublin-6?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Boojum located in Dublin at 3 Abbey Street Lower Dublin Republic of Ireland
Mama's Revenge,Dublin,3.8,74,12 Leinster Street S Dublin 2 Republic of Ireland,35316619289.0,https://www.yelp.com/biz/mamas-revenge-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Mama's Revenge located in Dublin at 12 Leinster Street S Dublin 2 Republic of Ireland
Pablo Picante,Dublin,3.7,68,131 Baggot Street Dublin 2 Republic of Ireland,35316629773.0,https://www.yelp.com/biz/pablo-picante-dublin-6?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Pablo Picante located in Dublin at 131 Baggot Street Dublin 2 Republic of Ireland
Saburritos,Dublin,2.5,20,"3, North Earl Street, Dublin 1 Republic of Ireland",,https://www.yelp.com/biz/saburritos-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Saburritos located in Dublin at 3, North Earl Street, Dublin 1 Republic of Ireland"
Tolteca,Dublin,3.3,44,38 Upper Baggot Street Dublin 4 Republic of Ireland,35316688604.0,https://www.yelp.com/biz/tolteca-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Tolteca located in Dublin at 38 Upper Baggot Street Dublin 4 Republic of Ireland
Boojum,Dublin,3.3,3,63 Mespil Rd Dublin 4 Republic of Ireland,35316676062.0,https://www.yelp.com/biz/boojum-dublin-7?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Boojum located in Dublin at 63 Mespil Rd Dublin 4 Republic of Ireland
Pablo's Tortas,Dublin,4.3,10,5 Clarendon Market Dublin 2 Republic of Ireland,35316334245.0,https://www.yelp.com/biz/pablos-tortas-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Pablo's Tortas located in Dublin at 5 Clarendon Market Dublin 2 Republic of Ireland
Belly Bites Cafe,Dublin,3.0,4,80B Thomas Street Dublin Republic of Ireland,,https://www.yelp.com/biz/belly-bites-cafe-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Belly Bites Cafe located in Dublin at 80B Thomas Street Dublin Republic of Ireland
Tolteca,Dublin,2.8,14,40 Camden Street Dublin 2 Republic of Ireland,35315592114.0,https://www.yelp.com/biz/tolteca-dublin-4?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Tolteca located in Dublin at 40 Camden Street Dublin 2 Republic of Ireland
Boojum,Dublin,3.8,8,"Unit 19, Block C Smithfield Market Dublin Republic of Ireland",35318783305.0,https://www.yelp.com/biz/boojum-dublin-9?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Boojum located in Dublin at Unit 19, Block C Smithfield Market Dublin Republic of Ireland"
777,Dublin,3.7,106,7 South Great George's Street Dublin 2 Republic of Ireland,35314254052.0,https://www.yelp.com/biz/777-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,777 located in Dublin at 7 South Great George's Street Dublin 2 Republic of Ireland
Zambrero,Dublin,2.7,17,Vault 9 The Station Building Park Place Hatch Street Upper Dublin 2 Republic of Ireland,35315631800.0,https://www.yelp.com/biz/zambrero-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Zambrero located in Dublin at Vault 9 The Station Building Park Place Hatch Street Upper Dublin 2 Republic of Ireland
El Gringo Burrito,Dublin,4.0,1,Spar Capel Street Dublin 1 Republic of Ireland,,https://www.yelp.com/biz/el-gringo-burrito-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,El Gringo Burrito located in Dublin at Spar Capel Street Dublin 1 Republic of Ireland
Yamamori,Dublin,4.0,94,12-13 South Great George's Street Dublin 2 Republic of Ireland,35316458001.0,https://www.yelp.com/biz/yamamori-dublin-8?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Yamamori located in Dublin at 12-13 South Great George's Street Dublin 2 Republic of Ireland
Freshii,Dublin,4.0,5,Custom House Quay CHQ Building Dublin Republic of Ireland,,https://www.yelp.com/biz/freshii-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Freshii located in Dublin at Custom House Quay CHQ Building Dublin Republic of Ireland
El Gringo Burrito,Dublin,3.2,18,Green & Baker Food Village Stephen's Green Shopping Centre Dublin 2 Republic of Ireland,35312547820.0,https://www.yelp.com/biz/el-gringo-burrito-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,El Gringo Burrito located in Dublin at Green & Baker Food Village Stephen's Green Shopping Centre Dublin 2 Republic of Ireland
Ukiyo Bar,Dublin,3.9,92,7-9 Exchequer Street Dublin 2 Republic of Ireland,35316334071.0,https://www.yelp.com/biz/ukiyo-bar-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Ukiyo Bar located in Dublin at 7-9 Exchequer Street Dublin 2 Republic of Ireland
Boojum,Dublin,3.0,1,"Castle House, 73-83, Unit 3 2 South Great George's Street Dublin 2 Republic of Ireland",35314254082.0,https://www.yelp.com/biz/boojum-dublin-11?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Boojum located in Dublin at Castle House, 73-83, Unit 3 2 South Great George's Street Dublin 2 Republic of Ireland"
Loco's Fresh Mexican Grill,Dublin,2.3,4,"7 The Hill Stillorgan Ballinteer, D16 YD68 Republic of Ireland",35312100500.0,https://www.yelp.com/biz/locos-fresh-mexican-grill-ballinteer-5?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Loco's Fresh Mexican Grill located in Dublin at 7 The Hill Stillorgan Ballinteer, D16 YD68 Republic of Ireland"
Cocu,Dublin,4.2,26,"9 Baggot Street Upper Ballsbridge, 4 Republic of Ireland",353861303319.0,https://www.yelp.com/biz/cocu-ballsbridge?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Cocu located in Dublin at 9 Baggot Street Upper Ballsbridge, 4 Republic of Ireland"
Maneki,Dublin,4.7,7,"43 Dawson Street Dublin 2, D02 NH42 Republic of Ireland",35315610889.0,https://www.yelp.com/biz/maneki-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Maneki located in Dublin at 43 Dawson Street Dublin 2, D02 NH42 Republic of Ireland"
Rosie's Cafe,Dublin,4.1,35,1 Werburgh Street Christchurch Dublin 8 Republic of Ireland,35314021829.0,https://www.yelp.com/biz/rosies-cafe-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Rosie's Cafe located in Dublin at 1 Werburgh Street Christchurch Dublin 8 Republic of Ireland
Acapulco Mexican Restaurant,Dublin,3.1,101,7 South Great Georges Street Dublin 2 Republic of Ireland,35316771085.0,https://www.yelp.com/biz/acapulco-mexican-restaurant-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Acapulco Mexican Restaurant located in Dublin at 7 South Great Georges Street Dublin 2 Republic of Ireland
Lunch!,Dublin,4.3,15,4 Lombard Street E Dublin 2 Republic of Ireland,35314743080.0,https://www.yelp.com/biz/lunch-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Lunch! located in Dublin at 4 Lombard Street E Dublin 2 Republic of Ireland
Mosa Sushi Burrito,Dublin,3.0,3,2-3 Merchant's Arch Dublin 2 Republic of Ireland,353834744561.0,https://www.yelp.com/biz/mosa-sushi-burrito-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Mosa Sushi Burrito located in Dublin at 2-3 Merchant's Arch Dublin 2 Republic of Ireland
The Ramen Bar,Dublin,4.2,161,Kokoro 51 William Street S Dublin 2 Republic of Ireland,35315470658.0,https://www.yelp.com/biz/the-ramen-bar-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,The Ramen Bar located in Dublin at Kokoro 51 William Street S Dublin 2 Republic of Ireland
Coco & Green,Dublin,3.3,4,Heuston Station Dublin Republic of Ireland,,https://www.yelp.com/biz/coco-and-green-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Coco & Green located in Dublin at Heuston Station Dublin Republic of Ireland
The Wooden Spoon Cafe,Dublin,4.3,12,"3 Bath Place Blackrock, Co. Dublin Republic of Ireland",35312835120.0,https://www.yelp.com/biz/the-wooden-spoon-cafe-blackrock?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"The Wooden Spoon Cafe located in Dublin at 3 Bath Place Blackrock, Co. Dublin Republic of Ireland"
Cafe Sora,Dublin,3.8,8,77 Sir John Rogerson's Quay Dublin 2 Republic of Ireland,35315989890.0,https://www.yelp.com/biz/cafe-sora-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Cafe Sora located in Dublin at 77 Sir John Rogerson's Quay Dublin 2 Republic of Ireland
Cactus Jacks,Dublin,2.9,49,Millenium Walk Way Middle Abbey Street Dublin 1 Republic of Ireland,35318746198.0,https://www.yelp.com/biz/cactus-jacks-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Cactus Jacks located in Dublin at Millenium Walk Way Middle Abbey Street Dublin 1 Republic of Ireland
The Good Food Store,Dublin,3.9,9,24 South Great George's Street Dublin 2 Republic of Ireland,35314443877.0,https://www.yelp.com/biz/the-good-food-store-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,The Good Food Store located in Dublin at 24 South Great George's Street Dublin 2 Republic of Ireland
Seven Wonders,Dublin,4.4,35,Excise Walk IFSC Dublin 1 Republic of Ireland,35316720212.0,https://www.yelp.com/biz/seven-wonders-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Seven Wonders located in Dublin at Excise Walk IFSC Dublin 1 Republic of Ireland
Stillorgan Orchard,Dublin,3.3,20,"1 The Hill Stillorgan, Co. Dublin Republic of Ireland",35312886793.0,https://www.yelp.com/biz/stillorgan-orchard-stillorgan-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Stillorgan Orchard located in Dublin at 1 The Hill Stillorgan, Co. Dublin Republic of Ireland"
KC Peaches Cafe Dame Street,Dublin,4.0,61,54 Dame Street Dublin 2 Republic of Ireland,35316770333.0,https://www.yelp.com/biz/kc-peaches-cafe-dame-street-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,KC Peaches Cafe Dame Street located in Dublin at 54 Dame Street Dublin 2 Republic of Ireland
Mexico to Rome,Dublin,2.7,38,23 E Essex Street Temple Bar Dublin 2 Republic of Ireland,35316772727.0,https://www.yelp.com/biz/mexico-to-rome-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Mexico to Rome located in Dublin at 23 E Essex Street Temple Bar Dublin 2 Republic of Ireland
Crave Cafe,Dublin,3.8,12,79 S Great Georges Street Dublin 2 Republic of Ireland,,https://www.yelp.com/biz/crave-cafe-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Crave Cafe located in Dublin at 79 S Great Georges Street Dublin 2 Republic of Ireland
Irish Village Markets - Mespil Road,Dublin,4.3,11,Mespil Rd Dublin 4 Republic of Ireland,35312940793.0,https://www.yelp.com/biz/irish-village-markets-mespil-road-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Irish Village Markets - Mespil Road located in Dublin at Mespil Rd Dublin 4 Republic of Ireland
